antecedents|consequents|antecedent support|consequent support|support|confidence|lift|leverage|conviction
frozenset({'EDAD_FIN_(21.0, 25.0]', 'GRADO EN EDUCACIÓN PRIMARIA', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.11204717775905644|0.41786015164279694|0.05518112889637742|0.4924812030075188|1.1785790080038807|0.008361078206830672|1.1470311086149334
frozenset({'EDAD_FIN_(21.0, 25.0]', 'GRADO EN EDUCACIÓN PRIMARIA'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.12005054759898905|0.41786015164279694|0.05897219882055602|0.49122807017543857|1.175580079230334|0.008807858796041644|1.1442059088400198
frozenset({'GRADO EN EDUCACIÓN PRIMARIA', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.11983993260320135|0.41786015164279694|0.05855096882898062|0.4885764499121265|1.1692343670276093|0.008474636418544346|1.1382734491932942
frozenset({'GRADO EN EDUCACIÓN PRIMARIA'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.13563605728727884|0.41786015164279694|0.06571187868576242|0.48447204968944096|1.1594119414946904|0.009034975219468992|1.1292110311507193
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.3150800336983993|0.41786015164279694|0.14911541701769165|0.4732620320855615|1.1325847421079869|0.017456026356860943|1.1051792044954007
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.30560235888795284|0.41786015164279694|0.14363942712721145|0.4700206753962784|1.1248277050310131|0.015940379099895013|1.098419921932772
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.4450294860994103|0.41786015164279694|0.2072451558550969|0.46568859441552296|1.1144604063936003|0.02128506730808133|1.0895141714603809
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.42965459140690815|0.41786015164279694|0.1983993260320135|0.46176470588235297|1.105069971537002|0.018863793312698884|1.0815713029587382
frozenset({'EXP_PREVIA_False', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.3477253580454928|0.41786015164279694|0.16048862679022746|0.46153846153846156|1.104528535980149|0.015188055947291973|1.0811168612348059
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.32792754844144906|0.41786015164279694|0.15122156697556866|0.46114322414900444|1.1035826755340086|0.014193711855974123|1.0803238902171217
